Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Application_Status,Risk_Score,Risk_Classification,Licensing_Decision
LSL-00089,Troy Cruz,"Hill, Crawford and Brooks",2024-06-07 07:55:33.791768,"65986 Christina Forges
Snyderchester, NS A3Y 9P7",Bar / Sports Bar,Corporation,160,Indoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,No,Yes,No,Valid,Pending,Under Review,6,Low,Approved
LSL-00090,Ralph Suarez,Barker Inc,2023-11-08 22:58:23.834707,"5786 Christopher Trafficway
Port Robert, MB T4Y3Y5",Restaurant / Club,Limited Partnership,177,Indoor,No,Minor,Compliant,No,1-5 years,Outdoor Seating,Yes,Yes,No,Yes,No,Valid,Pending,Submitted,11,Moderate,Conditional Approval
LSL-00091,Katherine Harris,Gordon-Hernandez,2024-06-24 06:24:47.679783,"56488 Kevin Crest
North Amyport, SK H1M 9A3",Banquet Hall,Limited Partnership,258,Both,No,Severe,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Submitted,18,High,Rejected
LSL-00092,Caitlin Bush,"Peters, Lee and Reed",2024-02-27 03:22:23.880537,"054 Sutton Lodge Suite 389
Crossstad, ON P1S 5T7",Banquet Hall,Corporation,202,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Submitted,18,High,Rejected
LSL-00093,Steven Fry,"Hutchinson, Schneider and Roth",2024-03-13 07:25:31.040880,"3339 Rogers Views Suite 228
Huertaburgh, MB H6M8P1",Night Club,Limited Partnership,256,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Under Review,18,High,Rejected
LSL-00094,Edward Hill,Doyle-Kennedy,2024-07-08 16:12:10.754562,"549 William Row
Romerobury, PE T5J 6X5",Night Club,Corporation,248,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Under Review,18,High,Rejected
LSL-00095,Kathleen Horne,"Marsh, Weaver and Miles",2024-06-07 22:28:41.195144,"75244 Brown Divide
Christopherstad, NB M6R 9N6",Banquet Hall,Corporation,264,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Under Review,18,High,Rejected
LSL-00096,Holly Hanson,Sanchez-Price,2024-09-09 16:58:53.282617,"6083 Jill Unions
Brendanborough, QC R1E8K3",Banquet Hall,Limited Partnership,248,Both,No,Severe,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Under Review,18,High,Rejected
LSL-00097,Randy Ferrell,Jones-Rodgers,2024-04-25 20:10:14.729921,"63852 Austin Stream
South Meganport, QC V3C 8T7",Night Club,Corporation,279,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Under Review,18,High,Rejected
LSL-00098,Andrew Smith,White-Lewis,2024-04-04 17:44:44.270707,"008 Parrish Port Apt. 763
Arellanomouth, NB G4L 6A9",Night Club,Corporation,235,Both,No,Severe,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Submitted,18,High,Rejected
LSL-00099,Leslie West,Rogers Inc,2023-12-16 07:08:00.054558,"3795 Shannon Plaza
Lake Haleyport, ON P1M 9S4",Night Club,Limited Partnership,259,Both,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Submitted,18,High,Rejected
LSL-00100,Lisa Lee DVM,"Mercer, Summers and Rangel",2024-03-07 17:59:29.040735,"188 Jason Lodge Suite 417
South Lydiamouth, ON S8V 3P7",Banquet Hall,Limited Partnership,235,Both,No,Severe,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,Submitted,18,High,Rejected
