Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Is_Renewal,Risk_Score,Risk_Classification,Licensing_Decision,Application_Status
LSL-00318,Diana Murray,"Williams, Reynolds and Sellers",2023-07-02 15:52:09,"451 Little Cliffs Apt. 476, Kitchener, ON, K5X 9E4",Live Theatre,First Nations,53,Indoor,No,Multiple,Compliant,Yes,1-5 years,None,Yes,No,No,Yes,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00322,Matthew Lee,Rivera-Nguyen,2024-05-29 13:01:57,"2067 Martinez Rest Apt. 073, Richmond Hill, ON, L2P2T6",Department Store,Association,151,Outdoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,Yes,No,No,Expired,Pending,No,6,Low,Approved,Approved
LSL-00323,Brenda Payne,Williams-Smith,2024-03-17 0:32:57,"6910 Mcdonald Dam, Vaughan, ON, G1M7A8",Museum,Association,230,Outdoor,No,Multiple,Compliant,Yes,Less than 1 year,None,No,Yes,Yes,No,No,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00325,Kelly Bowman,"Price, Valentine and Ponce",2023-11-01 2:01:24,"46351 Davis Forge, Hamilton, ON, M4K6M8",Educational Facility-Under 19 yrs of age,Estate/Trust,97,Both,Yes,None,Non-Compliant,No,More than 5 years,None,No,Yes,No,No,No,Valid,Pending,Yes,3,Low,Approved,Approved
LSL-00328,Tanya Welch,Lee Ltd,2024-07-10 5:41:30,"032 Hayes Cliff, Mississauga, ON, A8R 6M8",Restaurant / Club,Association,153,Outdoor,Yes,Minor,Non-Compliant,No,Less than 1 year,None,Yes,No,No,No,No,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00329,Timothy Jones,Castillo LLC,2024-06-27 17:25:00,"81331 Diana Ports, Brampton, ON, P9K7N6",Bar / Sports Bar,Corporation,282,Outdoor,No,None,Non-Compliant,Yes,More than 5 years,None,No,Yes,Yes,No,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00332,Susan Lopez,Parker and Sons,2023-02-25 21:26:07,"58665 Matthews Islands Apt. 889, Hamilton, ON, E1M 4A6",Convenient Store,Provincial Government,243,Both,Yes,Multiple,Compliant,Yes,1-5 years,None,No,No,Yes,No,Yes,Expired,Pending,Yes,4,Low,Approved,Approved
LSL-00337,Stephanie Miller,Friedman Ltd,2024-05-30 19:06:56,"44978 Melissa Turnpike, Vaughan, ON, J8H5P1",Social Club,Sole Proprietor,180,Both,Yes,Multiple,Compliant,Yes,1-5 years,None,Yes,No,Yes,No,No,Valid,Approved,Yes,3,Low,Approved,Approved
LSL-00339,Ronald French,"Smith, Martin and Blair",2024-01-28 3:04:35,"9371 Ramirez Drive Apt. 579, Windsor, ON, A2X 6P1",Funeral Home,Federal Government,95,Both,Yes,Multiple,Compliant,Yes,More than 5 years,None,Yes,No,Yes,Yes,No,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00340,Dr. Jason Evans,Murphy-Miller,2024-08-02 6:46:19,"23789 Ryan Street, Ottawa, ON, A5T 3E7",Place of Worship,Estate/Trust,171,Both,Yes,Severe,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,No,Yes,No,No,Valid,Pending,Yes,5,Low,Approved,Approved
LSL-00343,Christian Green,Johnson-Stark,2024-09-17 9:35:48,"6874 Larry Roads Apt. 232, Windsor, ON, K7G 8Y2",Laundromat,Association,155,Indoor,No,Minor,Non-Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,No,No,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00350,Robert Potter,Salazar LLC,2024-01-25 20:55:52,"03406 Joanna Estate, Vaughan, ON, A9E7E2",Art Gallery,First Nations,138,Outdoor,No,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Expired,Pending,No,5,Low,Approved,Approved
LSL-00356,Jared Richmond,"Schaefer, Mccall and Cochran",2024-03-29 3:58:29,"38099 Sierra Road, Richmond Hill, ON, B1Y1Y1",Community Centre,Partnership,225,Outdoor,Yes,Severe,Compliant,Yes,More than 5 years,None,No,Yes,Yes,No,Yes,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00357,Daniel Pratt,"Lewis, Crawford and Carter",2022-12-02 23:25:25,"3088 Coleman Mall Suite 267, Vaughan, ON, K1R 6E4",Internet Cafe,Municipality,289,Both,Yes,Multiple,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,No,No,No,Expired,Approved,No,4,Low,Approved,Approved
LSL-00359,Dwayne Reid,"Hughes, Aguirre and Walker",2022-11-16 9:18:59,"79219 Parker Keys, Mississauga, ON, R7B 7H6",Other,Corporation,124,Both,No,None,Compliant,No,More than 5 years,None,No,Yes,No,No,Yes,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00362,Christopher Perkins,Coleman and Sons,2024-08-10 7:48:56,"185 Lauren Corner Suite 785, London, ON, R7C3T3",Spa,Sole Proprietor,234,Indoor,Yes,Minor,Compliant,Yes,More than 5 years,VIP Rooms,Yes,Yes,No,No,No,Expired,Pending,Yes,1,Low,Approved,Approved
LSL-00366,Michael Roberts,Johnson-Johnston,2023-02-20 21:32:04,"32853 Ellis Station Apt. 010, Windsor, ON, Y2H5T6",Social Club,Estate/Trust,208,Outdoor,Yes,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,Yes,Yes,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00370,Ryan Foster,Juarez-White,2024-08-22 17:09:21,"680 Claudia Path Suite 298, Vaughan, ON, J1M7K5",Automotive / Marina,Partnership,139,Both,Yes,None,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Expired,Pending,Yes,2,Low,Approved,Approved
LSL-00372,Tonya Mullins,Wilson LLC,2024-09-04 11:53:04,"489 Garcia Crescent Suite 162, Richmond Hill, ON, S2C4B9",Spa,Partnership,77,Both,No,None,Compliant,No,More than 5 years,None,No,Yes,No,No,Yes,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00386,James Irwin Jr.,Stone-Jones,2023-09-28 12:45:30,"337 Jason Rue, Brampton, ON, T9H 7J1",Banquet Hall,Federal Government,234,Outdoor,No,None,Compliant,Yes,Less than 1 year,None,No,No,No,No,No,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00393,Mr. Shawn Mercer,Gallagher Ltd,2024-08-12 3:34:04,"5620 Lisa Hill Apt. 593, Hamilton, ON, X3H 3M2",Educational Facility-Under 19 yrs of age,Corporation,203,Outdoor,No,Severe,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Pending,No,6,Low,Approved,Approved
LSL-00404,Kayla Bell,"Adams, Waters and Weber",2023-04-24 12:46:24,"4535 Barrett Motorway Apt. 639, Brampton, ON, A6S3V2",Restaurant / Club,First Nations,153,Outdoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,Yes,No,No,Valid,Approved,No,2,Low,Approved,Approved
LSL-00405,Stephanie Allen,Lewis Group,2023-06-25 3:11:03,"17105 Barnes Village, Brampton, ON, S5J 6Y4",Karaoke Bar / Restaurant,Partnership,103,Both,Yes,Minor,Compliant,No,More than 5 years,None,No,Yes,Yes,Yes,Yes,Valid,Approved,Yes,6,Low,Approved,Approved
LSL-00409,Rebecca Coleman,"Smith, Zavala and Manning",2023-04-25 1:46:22,"9756 Lawrence Mews, Markham, ON, X1V 3T8",Bar / Sports Bar,Municipality,295,Outdoor,No,Multiple,Compliant,Yes,More than 5 years,None,No,Yes,No,No,No,Valid,Approved,Yes,2,Low,Approved,Approved
LSL-00411,Justin Warner Jr.,"Fuller, Robbins and Martin",2023-09-18 9:25:25,"6214 Tyler Streets Suite 615, Richmond Hill, ON, A8K 8H8",Bar / Sports Bar,Municipality,56,Both,Yes,Minor,Non-Compliant,No,More than 5 years,None,No,No,No,Yes,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00413,Matthew Patel,Alvarado-Fowler,2023-12-14 4:20:29,"37873 Gordon Spurs Apt. 827, Kitchener, ON, Y6A 7M6",Laundromat,Federal Government,247,Indoor,Yes,Minor,Compliant,No,1-5 years,None,No,Yes,No,No,Yes,Expired,Pending,Yes,4,Low,Approved,Approved
LSL-00417,William Rogers,"King, Bush and James",2023-05-01 20:04:30,"62583 Williams Greens, Ottawa, ON, Y7M 5J9",Live Theatre,First Nations,274,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,No,No,No,Yes,No,Valid,Approved,Yes,0,Low,Approved,Approved
LSL-00418,Amy Owens,Collins and Sons,2023-04-10 12:32:09,"101 Mendez Ville Suite 787, London, ON, P3B 6P6",Arcade-style Facility,Corporation,260,Indoor,No,Minor,Compliant,Yes,More than 5 years,VIP Rooms,No,No,No,Yes,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00419,Anthony Jimenez,Barnes Inc,2024-01-14 8:45:10,"34775 Solomon Squares, Kitchener, ON, S8K4L9",Other,Corporation,208,Outdoor,Yes,Severe,Compliant,Yes,More than 5 years,None,Yes,No,No,No,No,Expired,Approved,Yes,2,Low,Approved,Approved
LSL-00425,Ashley Warren,Newton-Richard,2023-09-12 0:44:49,"6852 John Mills, Ottawa, ON, B1L 4V8",Boat,Sole Proprietor,55,Outdoor,No,Minor,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,No,4,Low,Approved,Approved
LSL-00433,David Banks,Jones Inc,2024-02-29 14:08:01,"97102 Matthew Stravenue Suite 699, Kitchener, ON, E6J 5V4",Billiard / Pool Hall,First Nations,89,Outdoor,No,None,Compliant,Yes,1-5 years,None,Yes,Yes,No,Yes,No,Valid,Pending,Yes,6,Low,Approved,Approved
LSL-00435,Michael Lowe,"Patrick, Bailey and Good",2022-12-23 14:58:25,"984 Sophia Lane, Toronto, ON, C9S6L6",Bowling Alley,Corporation,192,Indoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,Outdoor Seating,No,No,Yes,No,Yes,Expired,Approved,Yes,4,Low,Approved,Approved
LSL-00442,Marissa Dunlap,"Henderson, Compton and Martinez",2024-05-08 8:25:38,"537 Kevin Flat Apt. 434, Kitchener, ON, T3S 7S7",Restaurant / Club,Estate/Trust,100,Outdoor,Yes,Minor,Non-Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,No,Yes,No,Expired,Approved,Yes,4,Low,Approved,Approved
LSL-00446,Catherine Watson,"Stevens, Gomez and Dixon",2023-03-18 15:21:43,"8494 Mary Ridges, Markham, ON, H5H8S6",Restaurant,Partnership,124,Both,No,Severe,Compliant,Yes,More than 5 years,VIP Rooms,No,No,Yes,Yes,No,Valid,Pending,Yes,5,Low,Approved,Approved
LSL-00447,Colleen Jones,Ross PLC,2023-11-30 18:36:55,"6893 William Camp Apt. 643, Vaughan, ON, X4J 9K4",Spa,Limited Partnership,175,Indoor,Yes,Minor,Compliant,No,More than 5 years,Outdoor Seating,Yes,No,No,No,No,Valid,Approved,No,4,Low,Approved,Approved
LSL-00448,Amy Lutz,Walker LLC,2023-05-28 17:24:00,"70887 Vincent Club, Mississauga, ON, T8E 4A5",Medical Facility,Association,279,Indoor,Yes,Multiple,Compliant,No,More than 5 years,Outdoor Seating,No,No,No,No,No,Expired,Approved,No,5,Low,Approved,Approved
LSL-00451,Kathleen Mckinney,Wilson Group,2023-07-31 2:40:00,"49837 Brandon Valley Apt. 757, Kitchener, ON, V5E 1Y9",Convenient Store,Estate/Trust,285,Outdoor,No,Minor,Compliant,Yes,More than 5 years,VIP Rooms,Yes,No,Yes,No,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00457,Brandon Cruz,Williams-Patton,2024-09-03 14:14:22,"993 Rebecca Mill Apt. 858, Brampton, ON, C9N4K2",Billiard / Pool Hall,Federal Government,196,Both,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,Yes,Yes,No,No,Expired,Approved,Yes,5,Low,Approved,Approved
LSL-00468,Anthony Black,Fox-Evans,2022-11-11 5:41:55,"0319 Brandon Mills Apt. 057, London, ON, C9V5G7",Medical Facility,Partnership,157,Both,Yes,None,Non-Compliant,Yes,Less than 1 year,None,No,Yes,No,No,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00473,Kathleen Reeves,Green-Chavez,2023-11-14 1:02:23,"36737 Price Ports, London, ON, G9V 8X7",Educational Facility-Under 19 yrs of age,First Nations,293,Indoor,Yes,Minor,Compliant,No,More than 5 years,None,No,Yes,Yes,Yes,No,Valid,Approved,Yes,4,Low,Approved,Approved
LSL-00475,Catherine Thomas,Montoya Inc,2024-06-30 2:20:06,"74750 Dylan Mission, Toronto, ON, X5R7X3",Speciality Food Store,Limited Partnership,85,Outdoor,Yes,None,Compliant,No,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Expired,Approved,No,4,Low,Approved,Approved
LSL-00476,Morgan Marquez,Anderson-Gilbert,2024-08-15 0:02:33,"3898 Yvonne Springs Suite 770, Vaughan, ON, E2X9B5",Other,Association,134,Outdoor,Yes,None,Non-Compliant,Yes,1-5 years,VIP Rooms,No,Yes,Yes,No,Yes,Valid,Approved,Yes,6,Low,Approved,Approved
LSL-00481,Hannah Miller,Robbins Group,2023-02-04 7:49:32,"972 Alvarez Plains, Hamilton, ON, S8L3M7",Arcade-style Facility,Partnership,71,Both,No,Minor,Compliant,Yes,More than 5 years,None,No,No,No,Yes,Yes,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00488,Zachary Watson,King-Garza,2024-03-31 23:16:12,"784 Williams Land, Toronto, ON, V1V 9L9",Speciality Food Store,Partnership,143,Both,Yes,None,Non-Compliant,Yes,More than 5 years,VIP Rooms,No,No,No,Yes,No,Expired,Pending,Yes,3,Low,Approved,Approved
LSL-00489,Stephen Campbell,Vaughn-Bradley,2023-06-24 23:24:28,"187 Porter Isle Suite 701, London, ON, A4K8J2",General Store,First Nations,162,Outdoor,Yes,None,Non-Compliant,Yes,More than 5 years,VIP Rooms,Yes,Yes,No,No,No,Valid,Pending,Yes,3,Low,Approved,Approved
LSL-00493,Steven Morse Jr.,Martinez-Leach,2023-06-02 9:28:05,"4065 Lawson Square Apt. 392, Brampton, ON, Y2K 8G9",Bingo Hall,Provincial Government,247,Outdoor,Yes,None,Compliant,No,More than 5 years,Outdoor Seating,No,Yes,No,No,Yes,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00499,Edward Dean,Williams-Kramer,2023-06-14 0:33:03,"54590 Gonzales Stream Apt. 019, Toronto, ON, S6X 2N4",Art Gallery,Provincial Government,209,Both,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,Yes,No,No,No,Valid,Approved,Yes,0,Low,Approved,Approved
LSL-00013,Dustin Cordova,"Hayden, Collier and Wallace",2023-04-09 19:06:36,"59135 Patel Path Suite 789, Vaughan, ON, H1X 7C4",Restaurant (Franchise),Corporation,262,Both,No,Multiple,Non-Compliant,Yes,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Valid,Pending,No,16,High,Rejected,Rejected
LSL-00022,Shannon Reid,"Petty, Ramirez and Buckley",2024-04-01 22:54:31,"101 Perkins Street Apt. 121, Hamilton, ON, M8Y 5E9",Night Club,Municipality,256,Indoor,No,Severe,Non-Compliant,No,1-5 years,None,No,Yes,No,Yes,Yes,Valid,Approved,No,13,High,Rejected,Rejected
LSL-00054,Michael Brooks,Ramos PLC,2022-11-02 21:03:20,"084 Davila Drive, Vaughan, ON, G3C 8B6",Golf Course,Estate/Trust,239,Indoor,No,Multiple,Compliant,No,Less than 1 year,Outdoor Seating,Yes,Yes,Yes,Yes,No,Valid,Approved,No,14,High,Rejected,Rejected
LSL-00069,Danielle Vasquez,Robinson and Sons,2023-08-04 13:10:31,"14620 Gomez Harbor, Markham, ON, B4A1E6",Spa,First Nations,193,Outdoor,Yes,Multiple,Non-Compliant,Yes,Less than 1 year,None,Yes,No,Yes,Yes,Yes,Expired,Pending,No,13,High,Rejected,Rejected
LSL-00082,Joseph Davis,Robertson-Oconnor,2024-03-07 19:46:02,"9060 Griffin Hills, Windsor, ON, J5K 7H3",Community Centre,Federal Government,265,Indoor,No,None,Non-Compliant,No,Less than 1 year,Outdoor Seating,No,Yes,No,Yes,Yes,Expired,Pending,No,16,High,Rejected,Rejected
LSL-00089,Hannah Mccullough,Turner-Diaz,2024-09-12 3:38:00,"90219 Schwartz Fall Apt. 530, London, ON, R3M5B4",Spa,Estate/Trust,300,Indoor,No,Minor,Non-Compliant,No,Less than 1 year,Outdoor Seating,Yes,No,Yes,Yes,Yes,Expired,Pending,No,17,High,Rejected,Rejected
LSL-00094,Eric Baker,Gregory Ltd,2023-01-10 13:29:35,"27618 White Trace, London, ON, V7Y 9A9",Restaurant / Club,First Nations,204,Outdoor,No,Severe,Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,No,Yes,Yes,Valid,Pending,Yes,13,High,Rejected,Rejected
LSL-00129,Tammy Ramsey,Gonzales-Kelly,2024-07-09 4:35:53,"27128 Ashley Fields Suite 249, Kitchener, ON, X3B 3H7",Specialty Merchandise Store,First Nations,95,Indoor,No,Minor,Non-Compliant,No,1-5 years,VIP Rooms,No,Yes,Yes,Yes,No,Valid,Pending,No,13,High,Rejected,Rejected
LSL-00134,Kristen Davidson,Sherman-Butler,2022-10-20 17:52:25,"94834 Walsh Spurs Suite 504, Ottawa, ON, L6P1J8",Bar / Sports Bar,Provincial Government,224,Outdoor,Yes,Severe,Non-Compliant,No,Less than 1 year,Outdoor Seating,Yes,Yes,No,Yes,Yes,Valid,Approved,Yes,15,High,Rejected,Rejected
LSL-00145,Desiree Martinez,Murphy-Bailey,2023-07-27 22:49:22,"20315 Gutierrez Port Suite 104, Markham, ON, H8X4P3",Spa,Limited Partnership,122,Outdoor,No,None,Non-Compliant,Yes,More than 5 years,Outdoor Seating,Yes,Yes,Yes,Yes,Yes,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00167,Ruben Brennan,"Jennings, Medina and Yang",2023-01-09 1:43:24,"93559 Stefanie Turnpike Apt. 035, Richmond Hill, ON, X7L8C8",Educational Facility-Under 19 yrs of age,Corporation,226,Outdoor,No,Severe,Non-Compliant,No,More than 5 years,VIP Rooms,Yes,Yes,Yes,Yes,No,Expired,Pending,No,13,High,Rejected,Rejected
LSL-00176,Marcus Price,Lamb and Sons,2023-01-31 16:52:43,"04245 Andrew Crossroad, Vaughan, ON, N1N 8G8",Speciality Food Store,Limited Partnership,204,Both,Yes,Severe,Non-Compliant,Yes,Less than 1 year,Outdoor Seating,No,Yes,Yes,Yes,No,Expired,Pending,No,13,High,Rejected,Rejected
LSL-00184,Chad Carter,Wells PLC,2024-10-07 8:28:10,"40349 Janice Causeway, Vaughan, ON, L1B4L4",Art Gallery,Estate/Trust,187,Indoor,Yes,Severe,Compliant,No,Less than 1 year,VIP Rooms,Yes,No,Yes,No,Yes,Valid,Pending,No,13,High,Rejected,Rejected
LSL-00199,Gregory Kent,Tucker and Sons,2022-11-23 2:24:29,"35435 Johnson Glens, Markham, ON, R9X7H8",Social Club,Federal Government,282,Outdoor,No,None,Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,No,Yes,No,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00200,Krystal Mills,Cabrera LLC,2024-04-27 12:42:31,"198 Christopher Trail, Ottawa, ON, P7N1P8",Karaoke Bar / Restaurant,Association,197,Outdoor,No,Severe,Compliant,Yes,Less than 1 year,Outdoor Seating,Yes,Yes,No,Yes,Yes,Valid,Pending,No,13,High,Rejected,Rejected
LSL-00203,Christine Murphy,Johnson Ltd,2023-08-23 2:10:02,"00882 Elizabeth Harbor, Windsor, ON, S9X 8J4",Spa,Corporation,146,Outdoor,Yes,Multiple,Non-Compliant,No,1-5 years,VIP Rooms,No,Yes,No,Yes,Yes,Expired,Pending,No,13,High,Rejected,Rejected
LSL-00204,Frank Wallace,Schaefer Group,2024-09-30 4:10:51,"579 Garner Ridges Suite 295, Brampton, ON, L6A3L5",Grocery Store,Municipality,161,Outdoor,No,Minor,Non-Compliant,No,1-5 years,VIP Rooms,No,Yes,Yes,Yes,Yes,Expired,Pending,No,15,High,Rejected,Rejected
LSL-00207,Trevor Garza,"Walsh, Ferguson and Smith",2022-12-05 23:21:17,"76733 Fleming Landing Apt. 355, Richmond Hill, ON, R1K 1C4",Restaurant / Bar,Federal Government,239,Indoor,No,None,Non-Compliant,No,1-5 years,Outdoor Seating,No,Yes,Yes,Yes,Yes,Valid,Pending,Yes,13,High,Rejected,Rejected
LSL-00217,Brandon Wade,Hall-Turner,2023-04-23 6:39:18,"56673 Riley Village Suite 754, Mississauga, ON, N2L 6L3",Restaurant,Limited Partnership,257,Both,No,Minor,Non-Compliant,No,Less than 1 year,None,Yes,Yes,Yes,No,No,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00231,Samantha Rodriguez,Nelson-Ross,2024-08-28 6:26:11,"4359 Cindy Fall, Toronto, ON, P2J 5V8",Community Centre,Partnership,116,Both,No,Multiple,Compliant,No,Less than 1 year,Outdoor Seating,Yes,Yes,No,No,Yes,Valid,Approved,No,13,High,Rejected,Rejected
LSL-00233,Lisa Green,"Swanson, Franco and Gomez",2024-04-08 12:45:25,"4155 Zachary Ville Apt. 843, Hamilton, ON, N5B 5R2",Speciality Food Store,Estate/Trust,217,Both,Yes,Multiple,Non-Compliant,No,Less than 1 year,Outdoor Seating,No,No,No,Yes,Yes,Valid,Approved,No,14,High,Rejected,Rejected
LSL-00234,Thomas Peterson,Estrada-Saunders,2023-05-07 10:55:47,"0451 Sarah Falls Suite 791, London, ON, M2M7K1",Bowling Alley,Provincial Government,228,Both,No,None,Non-Compliant,No,Less than 1 year,Outdoor Seating,Yes,Yes,No,No,Yes,Valid,Approved,Yes,13,High,Rejected,Rejected
LSL-00273,Nathan Valdez,Kim-Hudson,2023-09-24 3:14:26,"38240 Katelyn Fall, Windsor, ON, T7J2E7",Art Gallery,Estate/Trust,146,Both,No,Minor,Compliant,No,Less than 1 year,Outdoor Seating,Yes,Yes,No,No,Yes,Expired,Pending,No,13,High,Rejected,Rejected
LSL-00287,Susan Rhodes,"Chung, Smith and Thornton",2022-10-22 22:07:04,"37772 Rubio Ports, Richmond Hill, ON, M6H 5E3",Historical Site / Landmark,Federal Government,111,Outdoor,No,Multiple,Non-Compliant,No,Less than 1 year,Outdoor Seating,No,No,Yes,No,Yes,Expired,Pending,No,14,High,Rejected,Rejected
LSL-00296,Erin Todd,Williams Inc,2023-01-14 4:46:40,"90660 Bradford Ports Apt. 079, Windsor, ON, L8P 9J2",Restaurant (Franchise),Federal Government,141,Indoor,No,Multiple,Non-Compliant,No,Less than 1 year,Outdoor Seating,No,Yes,Yes,Yes,No,Valid,Approved,Yes,13,High,Rejected,Rejected
LSL-00305,Thomas Green,Navarro PLC,2023-09-11 17:33:52,"9053 Farrell Spur, Kitchener, ON, J8T5P4",Train,Provincial Government,178,Outdoor,No,Severe,Non-Compliant,Yes,Less than 1 year,Outdoor Seating,Yes,No,Yes,Yes,No,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00306,Christina Washington,"Foster, Holmes and Vargas",2023-06-26 2:41:35,"102 Henry Forest Apt. 500, Hamilton, ON, E8A8N5",Military,Corporation,126,Indoor,Yes,Multiple,Non-Compliant,Yes,Less than 1 year,Outdoor Seating,Yes,Yes,Yes,Yes,Yes,Valid,Pending,Yes,13,High,Rejected,Rejected
LSL-00358,Jennifer Sloan,"Stuart, Moore and Carter",2024-05-18 15:08:33,"37037 Carrie Hollow Suite 232, Markham, ON, C8N4K1",Golf Course,Municipality,292,Both,No,Minor,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,Yes,No,Valid,Approved,No,16,High,Rejected,Rejected
LSL-00369,Elizabeth Gaines,"Stone, Young and Figueroa",2024-10-12 14:28:32,"7957 Bryant Circle Suite 758, Ottawa, ON, L9K4M9",Automotive / Marina,Federal Government,82,Both,No,None,Non-Compliant,Yes,Less than 1 year,Outdoor Seating,No,No,Yes,Yes,Yes,Valid,Pending,No,14,High,Rejected,Rejected
LSL-00371,Charles Hall,Hall-Nelson,2023-11-16 21:07:11,"002 Brian Ports, Brampton, ON, Y6B3A5",Bookstore,Municipality,150,Indoor,Yes,Severe,Non-Compliant,No,1-5 years,Outdoor Seating,No,No,No,Yes,Yes,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00381,David Mills,"Daniels, Davis and Jones",2023-10-02 10:15:11,"531 John Prairie Suite 557, Kitchener, ON, L1T8L2",Funeral Home,Corporation,271,Indoor,No,None,Non-Compliant,No,More than 5 years,VIP Rooms,Yes,Yes,Yes,Yes,Yes,Expired,Pending,No,15,High,Rejected,Rejected
LSL-00387,Marilyn Solomon,Bush LLC,2024-08-27 21:12:37,"294 Nathan Terrace, Ottawa, ON, P5C 4T6",Museum,Sole Proprietor,250,Indoor,No,Multiple,Non-Compliant,Yes,Less than 1 year,Outdoor Seating,No,No,Yes,Yes,Yes,Expired,Approved,No,14,High,Rejected,Rejected
LSL-00398,Olivia Baker MD,Johnson Group,2024-05-29 1:39:33,"69131 Lane Point, Hamilton, ON, C3E6K8",Convenient Store,Sole Proprietor,71,Indoor,No,Severe,Non-Compliant,No,1-5 years,Outdoor Seating,Yes,No,Yes,Yes,No,Valid,Pending,No,13,High,Rejected,Rejected
LSL-00421,Mrs. Taylor Miller,Marquez and Sons,2024-07-11 10:12:51,"1391 Horn Overpass, Kitchener, ON, Y9B1V6",Athletic Club,Federal Government,235,Both,Yes,Multiple,Non-Compliant,Yes,Less than 1 year,None,Yes,Yes,No,Yes,Yes,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00434,Curtis Bowen,Scott-Schmidt,2023-07-25 22:10:34,"3766 Lopez Expressway, Kitchener, ON, P5X 9C1",Restaurant / Club,Sole Proprietor,207,Indoor,No,Multiple,Non-Compliant,No,Less than 1 year,VIP Rooms,No,Yes,Yes,Yes,No,Expired,Pending,Yes,13,High,Rejected,Rejected
LSL-00452,Jeffrey Brown,Morales-Kramer,2023-12-03 23:52:45,"737 Williams Pines Apt. 393, Kitchener, ON, H6H 8H7",Specialty Merchandise Store,Sole Proprietor,111,Both,No,Multiple,Non-Compliant,No,1-5 years,VIP Rooms,Yes,Yes,No,Yes,Yes,Expired,Pending,Yes,13,High,Rejected,Rejected
LSL-00477,Lawrence Perkins,Melendez PLC,2023-10-10 11:16:42,"872 Haley Turnpike, Toronto, ON, P7L9V5",Hair Salon / Barber Shop,Estate/Trust,81,Both,Yes,Minor,Non-Compliant,No,Less than 1 year,VIP Rooms,Yes,Yes,Yes,No,Yes,Expired,Approved,No,13,High,Rejected,Rejected
LSL-00491,Scott Woods,"Nguyen, Bennett and Watts",2023-04-13 18:22:32,"7494 Andrew Valley, Brampton, ON, T9S5K4",Internet Cafe,Sole Proprietor,282,Outdoor,No,Minor,Non-Compliant,No,More than 5 years,Outdoor Seating,Yes,Yes,No,Yes,Yes,Valid,Approved,No,14,High,Rejected,Rejected
LSL-00500,Lindsey Malone,"Nelson, Pruitt and Patterson",2022-12-25 23:16:26,"37728 Tanner Point Apt. 386, Ottawa, ON, P7G 3B7",Bowling Alley,Corporation,283,Indoor,No,None,Non-Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,Yes,Yes,Yes,Valid,Pending,No,14,High,Rejected,Rejected
